Node No.,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
2,44.25882353,40.48676471,38.09779412,36.96617647,37.21764706,38.72647059,41.36691176,43.50441176,50.04264706,38.33595156,55.575,57.58676471,57.83823529,55.82647059,52.55735294,51.04852941,51.67720588,52.05441176,54.06617647,59.85,57.58676471,51.80294118,47.40220588,43.00147059
3,70.25210084,64.26470588,60.47268908,58.67647059,59.07563025,61.47058824,65.66176471,69.05462185,79.43277311,60.85071676,88.21428571,91.40756303,91.80672269,88.61344538,83.42436975,81.02941176,82.02731092,82.62605042,85.81932773,95,91.40756303,82.22689076,75.24159664,68.25630252
4,140.5042017,128.5294118,120.9453782,117.3529412,118.1512605,122.9411765,131.3235294,138.1092437,158.8655462,121.7014335,176.4285714,182.8151261,183.6134454,177.2268908,166.8487395,162.0588235,164.0546218,165.2521008,171.6386555,190,182.8151261,164.4537815,150.4831933,136.512605
5,44.25882353,40.48676471,38.09779412,36.96617647,37.21764706,38.72647059,41.36691176,43.50441176,50.04264706,38.33595156,55.575,57.58676471,57.83823529,55.82647059,52.55735294,51.04852941,51.67720588,52.05441176,54.06617647,59.85,57.58676471,51.80294118,47.40220588,43.00147059
6,140.5042017,128.5294118,120.9453782,117.3529412,118.1512605,122.9411765,131.3235294,138.1092437,158.8655462,121.7014335,176.4285714,182.8151261,183.6134454,177.2268908,166.8487395,162.0588235,164.0546218,165.2521008,171.6386555,190,182.8151261,164.4537815,150.4831933,136.512605
7,140.5042017,128.5294118,120.9453782,117.3529412,118.1512605,122.9411765,131.3235294,138.1092437,158.8655462,121.7014335,176.4285714,182.8151261,183.6134454,177.2268908,166.8487395,162.0588235,164.0546218,165.2521008,171.6386555,190,182.8151261,164.4537815,150.4831933,136.512605
8,70.25210084,64.26470588,60.47268908,58.67647059,59.07563025,61.47058824,65.66176471,69.05462185,79.43277311,60.85071676,88.21428571,91.40756303,91.80672269,88.61344538,83.42436975,81.02941176,82.02731092,82.62605042,85.81932773,95,91.40756303,82.22689076,75.24159664,68.25630252
9,70.25210084,64.26470588,60.47268908,58.67647059,59.07563025,61.47058824,65.66176471,69.05462185,79.43277311,60.85071676,88.21428571,91.40756303,91.80672269,88.61344538,83.42436975,81.02941176,82.02731092,82.62605042,85.81932773,95,91.40756303,82.22689076,75.24159664,68.25630252
10,44.25882353,40.48676471,38.09779412,36.96617647,37.21764706,38.72647059,41.36691176,43.50441176,50.04264706,38.33595156,55.575,57.58676471,57.83823529,55.82647059,52.55735294,51.04852941,51.67720588,52.05441176,54.06617647,59.85,57.58676471,51.80294118,47.40220588,43.00147059
11,140.5042017,128.5294118,120.9453782,117.3529412,118.1512605,122.9411765,131.3235294,138.1092437,158.8655462,121.7014335,176.4285714,182.8151261,183.6134454,177.2268908,166.8487395,162.0588235,164.0546218,165.2521008,171.6386555,190,182.8151261,164.4537815,150.4831933,136.512605
12,70.25210084,64.26470588,60.47268908,58.67647059,59.07563025,61.47058824,65.66176471,69.05462185,79.43277311,60.85071676,88.21428571,91.40756303,91.80672269,88.61344538,83.42436975,81.02941176,82.02731092,82.62605042,85.81932773,95,91.40756303,82.22689076,75.24159664,68.25630252
13,44.25882353,40.48676471,38.09779412,36.96617647,37.21764706,38.72647059,41.36691176,43.50441176,50.04264706,38.33595156,55.575,57.58676471,57.83823529,55.82647059,52.55735294,51.04852941,51.67720588,52.05441176,54.06617647,59.85,57.58676471,51.80294118,47.40220588,43.00147059
14,70.25210084,64.26470588,60.47268908,58.67647059,59.07563025,61.47058824,65.66176471,69.05462185,79.43277311,60.85071676,88.21428571,91.40756303,91.80672269,88.61344538,83.42436975,81.02941176,82.02731092,82.62605042,85.81932773,95,91.40756303,82.22689076,75.24159664,68.25630252
15,140.5042017,128.5294118,120.9453782,117.3529412,118.1512605,122.9411765,131.3235294,138.1092437,158.8655462,121.7014335,176.4285714,182.8151261,183.6134454,177.2268908,166.8487395,162.0588235,164.0546218,165.2521008,171.6386555,190,182.8151261,164.4537815,150.4831933,136.512605
